Control Voltage,Power,Current,Speed,Airflow1,Airflow2,Air Pressure Pa,Air Pressure H2O,Efficiency
10,1107,1.92,3867,0,0,1920,6.8276,0.00%
10,1107,1.92,3435,687,404.69,1617,6.4955,27.89%
10,1107,1.92,3227,1123,661.14,1405,5.645,39.60%
10,1107,1.92,3037,1599,941.51,1231,4.9439,49.41%
10,1107,1.92,2848,2945,1733.64,742,2.9806,54.83%
10,1107,1.92,2873,3011,1772.36,720,2.8916,54.40%
10,1107,1.92,2858,3247,1911.59,640,2.5715,52.15%
10,1107,1.92,2968,3959,2330.56,356,1.4302,35.37%
10,1107,1.92,3177,4468,2629.87,157,0.6292,17.60%
10,1107,1.92,3242,4781,2814.6,0,0,0.00%
9,939,1.59,3718,0,0,1750,6.8307,0.00%
9,939,1.59,3295,570,335.28,1450,5.8235,24.43%
9,939,1.59,2998,1220,718.28,1172,4.7102,42.30%
9,939,1.59,2825,1635,962.67,1037,4.1653,50.17%
9,939,1.59,2730,2671,1572.4,678,2.7257,53.57%
9,939,1.59,2700,2784,1639.05,654,2.6286,53.87%
9,939,1.59,2743,3126,1839.86,519,2.0849,47.99%
9,939,1.59,2867,3719,2189.43,299,1.2024,32.90%
9,939,1.59,2968,4218,2483.23,97,0.3893,12.10%
9,939,1.59,3075,4559,2683.72,0,0,0.00%
8,678,1.26,3363,0,0,1567,6.2952,0.00%
8,678,1.26,2930,491,289.05,1171,4.7044,23.56%
8,678,1.26,2680,1061,624.54,948,3.8102,41.21%
8,678,1.26,2575,1433,843.54,842,3.3821,49.43%
8,678,1.26,2438,2336,1374.87,566,2.2725,54.16%
8,678,1.26,2415,2391,1407.25,543,2.1814,53.18%
8,678,1.26,2478,2815,1657.04,409,1.6417,47.17%
8,678,1.26,2553,3279,1930.43,281,1.1291,37.75%
8,678,1.26,2672,3715,2187.1,94,0.3763,14.31%
8,678,1.26,2698,3981,2343.58,0,0,0.00%
7,474,0.97,2982,0,0,1227,4.9295,0.00%
7,474,0.97,2618,423,248.95,913,3.6666,22.63%
7,474,0.97,2357,922,542.75,741,2.9788,40.04%
7,474,0.97,2253,1228,722.93,662,2.6609,47.64%
7,474,0.97,2148,1972,1161.05,458,1.8415,52.94%
7,474,0.97,2157,2059,1211.94,437,1.754,52.73%
7,474,0.97,2198,2532,1490.72,307,1.2319,45.56%
7,474,0.97,2282,2966,1745.91,181,0.7258,31.46%
7,474,0.97,2342,3201,1884.19,95,0.3836,17.82%
7,474,0.97,2423,3534,2080.03,0,0,0.00%
6,315,0.67,2592,0,0,925,3.7145,0.00%
6,315,0.67,2278,381,224.19,686,2.7575,23.04%
6,315,0.67,2047,802,471.97,561,2.2534,39.66%
6,315,0.67,1978,1056,621.47,504,2.0266,46.92%
6,315,0.67,1870,1690,994.63,359,1.4417,53.49%
6,315,0.67,1867,1734,1020.97,339,1.3602,51.85%
6,315,0.67,1875,2036,1198.61,266,1.0701,47.76%
6,315,0.67,1967,2512,1478.45,161,0.6451,35.66%
6,315,0.67,2003,2728,1605.73,89,0.3559,21.41%
6,315,0.67,2095,3054,1797.65,0,0,0.00%
5,204,0.54,2203,0,0,669,2.6885,0.00%
5,204,0.54,1922,342,201.13,499,2.0032,23.22%
5,204,0.54,1758,685,403.52,409,1.6431,38.18%
5,204,0.54,1692,886,521.59,371,1.4896,44.76%
5,204,0.54,1602,1384,814.87,273,1.0971,51.46%
5,204,0.54,1602,1789,1053.34,187,0.7493,45.56%
5,204,0.54,1660,1987,1169.72,143,0.5726,38.69%
5,204,0.54,1703,2255,1327.37,83,0.3333,25.48%
5,204,0.54,1763,2534,1491.78,17,0.0665,5.87%
5,204,0.54,1782,2604,1532.94,0,0,0.00%
4,120,0.36,1813,0,0,459,1.8458,0.00%
4,120,0.36,1610,243,143.04,344,1.3814,19.35%
4,120,0.36,1467,523,307.67,285,1.1469,34.48%
4,120,0.36,1330,1050,617.98,200,0.8021,48.60%
4,120,0.36,1313,1153,678.5,181,0.7277,48.29%
4,120,0.36,1328,1308,769.8,155,0.621,46.92%
4,120,0.36,1347,1526,898.14,118,0.4754,41.68%
4,120,0.36,1385,1748,1028.69,77,0.308,31.15%
4,120,0.36,1457,2006,1180.83,18,0.0715,8.36%
4,120,0.36,1485,2114,1244.63,0,0,0.00%
3,75,0.3,1492,0,0,310,1.2458,0.00%
3,75,0.3,1288,230,135.21,221,0.8868,18.80%
3,75,0.3,1108,778,458.11,147,0.5892,42.37%
3,75,0.3,1097,892,525.09,129,0.5199,42.62%
3,75,0.3,1103,1066,627.71,105,0.4224,41.47%
3,75,0.3,1140,1286,757.21,74,0.297,35.25%
3,75,0.3,1192,1552,913.37,29,0.1168,16.67%
3,75,0.3,1228,1705,1003.51,0,0,0.00%
2,48,0.23,1248,0,0,215,0.8637,0.00%
2,48,0.23,1118,195,114.58,166,0.6673,18.70%
2,48,0.23,1038,368,216.57,142,0.5704,30.23%
2,48,0.23,948,690,406.27,108,0.4358,43.14%
2,48,0.23,930,817,481.07,93,0.3732,43.98%
2,48,0.23,933,1016,597.88,70,0.2816,41.14%
2,48,0.23,977,1234,726.53,40,0.159,28.57%
2,48,0.23,1035,1517,892.85,0,0,0.00%
1,36,0.2,1132,0,0,175,0.7048,0.00%
1,36,0.2,985,157,92.15,129,0.518,15.58%
1,36,0.2,872,544,320.26,91,0.3664,38.20%
1,36,0.2,852,677,398.44,76,0.307,39.69%
1,36,0.2,858,883,519.69,55,0.22,37.47%
1,36,0.2,903,1131,665.69,25,0.1007,21.81%
1,36,0.2,948,1308,769.7,0,0,0.00%
