Control Voltage,Power,Current,Speed,Airflow1,Airflow2,Air Pressure Pa,Air Pressure H2O,Efficiency
10,3322,6.82,1625,15854,9330.08,2,0.008,0.27%
10,3365,6.91,1625,15165,8924.6,99,0.3974,12.39%
10,3471,7.13,1625,14541,8557.38,199,0.7989,23.16%
10,3654,7.5,1625,13839,8144.25,300,1.2044,31.56%
10,3732,7.66,1625,12920,7603.42,401,1.6099,38.56%
10,3806,7.81,1625,11911,7009.62,504,2.0234,43.81%
10,3686,7.57,1625,10410,6126.29,601,2.4128,47.15%
10,3188,6.55,1625,7876,4635.03,702,2.8182,48.18%
10,2530,5.19,1625,5343,3144.36,795,3.1916,46.64%
10,1824,3.75,1625,1881,1106.97,886,3.5569,25.38%
10,1488,3.06,1625,0,0,983,3.9464,0.00%
9,2967.44,6.09,1565,15269,8985.58,1.86,0.0074,0.27%
9,3005.85,6.17,1565,14605,8595.08,91.82,0.3686,12.39%
9,3100.54,6.37,1565,14004,8241.41,184.58,0.741,23.16%
9,3264.01,6.7,1565,13328,7843.54,278.26,1.1171,31.56%
9,3333.69,6.84,1565,12443,7322.68,371.93,1.4932,38.56%
9,3399.79,6.98,1565,11471,6750.81,467.47,1.8767,43.81%
9,3292.59,6.76,1565,10026,5900.08,557.44,2.2379,47.15%
9,2847.75,5.85,1565,7585,4463.89,651.12,2.614,48.18%
9,2259.97,4.64,1565,5146,3028.26,737.38,2.9603,46.64%
9,1629.33,3.35,1565,1812,1066.1,821.78,3.2991,25.38%
9,1329.19,2.73,1565,0,0,911.75,3.6603,0.00%
8,2330.99,4.79,1444,14088,8290.85,1.58,0.0063,0.27%
8,2361.17,4.85,1444,13476,7930.54,78.17,0.3138,12.39%
8,2435.54,5,1444,12921,7604.22,157.14,0.6308,23.16%
8,2563.95,5.26,1444,12298,7237.11,236.89,0.951,31.56%
8,2618.68,5.38,1444,11481,6756.52,316.64,1.2712,38.56%
8,2670.61,5.48,1444,10584,6228.86,397.98,1.5977,43.81%
8,2586.41,5.31,1444,9250,5443.91,474.57,1.9052,47.15%
8,2236.97,4.59,1444,6999,4118.76,554.33,2.2254,48.18%
8,1775.26,3.65,1444,4748,2794.12,627.76,2.5202,46.64%
8,1279.87,2.63,1444,1671,983.67,699.62,2.8087,25.38%
8,1044.11,2.14,1444,0,0,776.21,3.1162,0.00%
7,1796.82,3.69,1324,12917,7601.86,1.33,0.0053,0.27%
7,1820.07,3.74,1324,12356,7271.49,65.72,0.2638,12.39%
7,1877.41,3.85,1324,11848,6972.29,132.11,0.5304,23.16%
7,1976.39,4.06,1324,11276,6635.69,199.15,0.7995,31.56%
7,2018.58,4.14,1324,10527,6195.03,266.2,1.0687,38.56%
7,2058.6,4.23,1324,9705,5711.23,334.58,1.3432,43.81%
7,1993.7,4.09,1324,8482,4991.51,398.97,1.6017,47.15%
7,1724.34,3.54,1324,6417,3776.48,466.02,1.8709,48.18%
7,1368.44,2.81,1324,4353,2561.92,527.76,2.1187,46.64%
7,986.57,2.03,1324,1533,901.92,588.17,2.3613,25.38%
7,804.83,1.65,1324,0,0,652.56,2.6198,0.00%
6,1329,2.73,1202,11631,6844.84,0,0,0.00%
6,1463,3,1202,10822,6368.75,102,0.4095,20.96%
6,1470,3.02,1202,9725,5723.16,200,0.8029,36.75%
6,1497,3.07,1202,8236,4846.89,298,1.1964,45.54%
6,1230,2.53,1202,5248,3088.45,399,1.6018,47.29%
6,914,1.88,1202,2738,1611.31,446,1.7905,37.11%
6,710,1.46,1202,844,496.69,503,2.0193,16.61%
6,638,1.31,1202,0,0,539,2.1639,0.00%
5,980.67,2.01,1082,10556,6212.4,0.89,0.0036,0.27%
5,993.36,2.04,1082,10098,5942.41,43.89,0.1762,12.39%
5,1024.65,2.1,1082,9682,5697.9,88.23,0.3542,23.16%
5,1078.67,2.21,1082,9215,5422.82,133.01,0.534,31.56%
5,1101.7,2.26,1082,8603,5062.71,177.78,0.7137,38.56%
5,1123.54,2.31,1082,7931,4667.33,223.45,0.8971,43.81%
5,1088.12,2.23,1082,6931,4079.16,266.45,1.0697,47.15%
5,941.11,1.93,1082,5244,3086.21,311.23,1.2495,48.18%
5,746.87,1.53,1082,3558,2093.66,352.46,1.415,46.64%
5,538.45,1.11,1082,1252,737.07,392.81,1.577,25.38%
5,439.26,0.9,1082,0,0,435.81,1.7496,0.00%
4,689.23,1.42,962,9386,5523.41,0.7,0.0028,0.27%
4,698.15,1.43,962,8978,5283.36,34.7,0.1393,12.39%
4,720.14,1.48,962,8608,5065.97,69.74,0.28,23.16%
4,758.11,1.56,962,8193,4821.4,105.14,0.4221,31.56%
4,774.3,1.59,962,7649,4501.22,140.54,0.5642,38.56%
4,789.65,1.62,962,7051,4149.7,176.63,0.7091,43.81%
4,764.75,1.57,962,6163,3626.76,210.63,0.8456,47.15%
4,661.43,1.36,962,4663,2743.94,246.03,0.9877,48.18%
4,524.91,1.08,962,3163,1861.46,278.62,1.1185,46.64%
4,378.43,0.78,962,1114,655.33,310.51,1.2466,25.38%
4,308.72,0.63,962,0,0,344.51,1.3831,0.00%
3,460.5,0.95,841,8205,4828.67,0.54,0.0022,0.27%
3,466.46,0.96,841,7848,4618.83,26.52,0.1065,12.39%
3,481.15,0.99,841,7526,4428.77,53.3,0.214,23.16%
3,506.52,1.04,841,7162,4214.96,80.35,0.3226,31.56%
3,517.33,1.06,841,6687,3935.06,107.41,0.4312,38.56%
3,527.59,1.08,841,6164,3627.75,134.99,0.5419,43.81%
3,510.96,1.05,841,5388,3170.59,160.98,0.6463,47.15%
3,441.92,0.91,841,4076,2398.8,188.03,0.7549,48.18%
3,350.71,0.72,841,2765,1627.32,212.94,0.8549,46.64%
3,252.84,0.52,841,973,572.9,237.31,0.9527,25.38%
3,206.27,0.42,841,0,0,263.29,1.057,0.00%
2,290.17,0.6,721,7034,4139.68,0.39,0.0016,0.27%
2,293.92,0.6,721,6729,3959.78,19.49,0.0782,12.39%
2,303.18,0.62,721,6452,3796.84,39.18,0.1573,23.16%
2,319.16,0.66,721,6140,3613.54,59.06,0.2371,31.56%
2,325.98,0.67,721,5733,3373.58,78.94,0.3169,38.56%
2,332.44,0.68,721,5285,3110.12,99.22,0.3983,43.81%
2,321.96,0.66,721,4619,2718.19,118.31,0.475,47.15%
2,278.46,0.57,721,3495,2056.53,138.2,0.5548,48.18%
2,220.99,0.45,721,2371,1395.13,156.51,0.6283,46.64%
2,159.32,0.33,721,835,491.15,174.42,0.7002,25.38%
2,129.97,0.27,721,0,0,193.52,0.7769,0.00%
1,175.67,0.36,610,5951,3502.03,0.28,0.0011,0.27%
1,177.95,0.37,610,5692,3349.84,13.95,0.056,12.39%
1,183.55,0.38,610,5458,3212,28.04,0.1126,23.16%
1,193.23,0.4,610,5194,3056.93,42.27,0.1697,31.56%
1,197.35,0.41,610,4850,2853.93,56.5,0.2268,38.56%
1,201.27,0.41,610,4471,2631.05,71.01,0.2851,43.81%
1,194.92,0.4,610,3907,2299.49,84.67,0.3399,47.15%
1,168.59,0.35,610,2956,1739.75,98.9,0.3971,48.18%
1,133.79,0.27,610,2005,1180.23,112,0.4497,46.64%
1,96.46,0.2,610,706,415.5,124.83,0.5011,25.38%
1,78.69,0.16,610,0,0,138.49,0.556,0.00%
