Control Voltage,Power,Current,Speed,Airflow1,Airflow2,Air Pressure Pa,Air Pressure H2O,Efficiency
10,1113,1.93,2438,0,0,1406,5.6491,0.00%
10,1113,1.93,2185,992,584.23,1111,4.4624,27.52%
10,1113,1.93,2055,1632,960.77,951,3.821,38.74%
10,1113,1.93,1817,2925,1721.68,737,2.9625,53.80%
10,1113,1.93,1790,3317,1952.75,677,2.7192,56.05%
10,1113,1.93,1750,4009,2359.76,556,2.2356,55.63%
10,1113,1.93,1773,4987,2935.84,399,1.6045,49.66%
10,1113,1.93,1832,5782,3403.37,258,1.0353,37.23%
10,1113,1.93,1933,6711,3950.47,120,0.4839,20.10%
10,1113,1.93,1992,7160,4215.07,0,0,0.00%
9,942,1.59,2403,0,0,1343,5.3945,0.00%
9,942,1.59,2083,875,515.25,993,3.9899,25.63%
9,942,1.59,1737,2688,1582.24,668,2.6817,52.95%
9,942,1.59,1718,2764,1626.99,654,2.6278,53.30%
9,942,1.59,1690,3138,1846.95,609,2.4483,56.35%
9,942,1.59,1658,3846,2263.91,491,1.9723,55.68%
9,942,1.59,1692,4811,2832.27,340,1.3676,48.24%
9,942,1.59,1753,5562,3274.3,209,0.8387,34.28%
9,942,1.59,1828,6542,3851.23,53,0.214,10.22%
9,942,1.59,1865,6919,4072.98,0,0,0.00%
8,687,1.28,2165,0,0,1084,4.3551,0.00%
8,687,1.28,1897,774,455.68,807,3.2407,25.26%
8,687,1.28,1570,2349,1382.81,553,2.2234,52.52%
8,687,1.28,1580,2399,1412.01,540,2.1705,52.37%
8,687,1.28,1538,2780,1636.51,497,1.9969,55.87%
8,687,1.28,1507,3554,2092.2,384,1.5425,55.18%
8,687,1.28,1520,4223,2485.98,285,1.1433,48.67%
8,687,1.28,1590,5027,2959.44,168,0.6741,34.15%
8,687,1.28,1628,5555,3269.96,102,0.4115,22.91%
8,687,1.28,1687,6153,3622.17,0,0,0.00%
7,471,0.97,1885,0,0,843,3.3884,0.00%
7,471,0.97,1675,533,313.59,659,2.6493,20.70%
7,471,0.97,1588,979,576.4,568,2.2838,32.80%
7,471,0.97,1400,1959,1153.11,439,1.7655,50.72%
7,471,0.97,1388,2053,1208.77,429,1.7216,51.95%
7,471,0.97,1362,2459,1447.77,386,1.5525,55.99%
7,471,0.97,1343,3628,2135.36,241,0.9665,51.56%
7,471,0.97,1363,4019,2365.58,186,0.7486,44.08%
7,471,0.97,1403,4431,2608.39,130,0.523,33.97%
7,471,0.97,1505,5376,3164.9,0,0,0.00%
6,318,0.68,1682,0,0,650,2.6104,0.00%
6,318,0.68,1460,586,345.23,487,1.958,24.95%
6,318,0.68,1255,1639,964.58,349,1.4004,49.95%
6,318,0.68,1227,1783,1049.32,337,1.3553,52.47%
6,318,0.68,1195,2159,1271.19,298,1.1979,56.21%
6,318,0.68,1177,2762,1626.15,235,0.9442,56.71%
6,318,0.68,1197,3420,2012.95,159,0.6374,47.49%
6,318,0.68,1233,3851,2266.87,108,0.4326,36.33%
6,318,0.68,1275,4243,2497.83,51,0.2067,18.90%
6,318,0.68,1317,4719,2777.88,0,0,0.00%
5,204,0.54,1420,0,0,472,1.8972,0.00%
5,204,0.54,1253,487,286.93,356,1.4305,23.63%
5,204,0.54,1072,1317,775.51,262,1.0507,47.00%
5,204,0.54,1067,1456,856.87,251,1.0067,49.75%
5,204,0.54,1020,1884,1108.78,215,0.8619,55.14%
5,204,0.54,1005,2470,1454.01,156,0.6262,52.47%
5,204,0.54,1025,2830,1665.61,123,0.4954,47.39%
5,204,0.54,1053,3228,1900.06,81,0.3264,35.60%
5,204,0.54,1098,3638,2141.82,34,0.1386,16.84%
5,204,0.54,1135,4036,2376.06,0,0,0.00%
4,123,0.37,1198,0,0,331,1.3292,0.00%
4,123,0.37,1060,378,222.5,252,1.0128,21.51%
4,123,0.37,917,1014,596.82,190,0.763,43.50%
4,123,0.37,902,1165,685.8,180,0.724,47.36%
4,123,0.37,857,2265,1333.19,95,0.3822,48.59%
4,123,0.37,883,2618,1540.87,62,0.25,36.65%
4,123,0.37,920,3050,1795.43,22,0.0892,15.15%
4,123,0.37,952,3313,1950.32,0,0,0.00%
3,78,0.24,993,0,0,229,0.9205,0.00%
3,78,0.24,857,359,211.07,170,0.6812,21.71%
3,78,0.24,775,762,448.8,137,0.5517,37.20%
3,78,0.24,753,917,539.79,128,0.515,41.80%
3,78,0.24,710,1418,834.66,98,0.3953,49.49%
3,78,0.24,703,1732,1019.49,77,0.3096,47.49%
3,78,0.24,733,2108,1241.03,50,0.1991,37.54%
3,78,0.24,768,2505,1474.32,18,0.0721,16.05%
3,78,0.24,798,2750,1618.95,0,0,0.00%
2,48,0.23,850,0,0,165,0.6649,0.00%
2,48,0.23,673,610,359.19,102,0.4098,36.02%
2,48,0.23,642,775,456.42,94,0.379,42.18%
2,48,0.23,625,1013,596.18,83,0.3344,48.65%
2,48,0.23,612,1307,769.17,67,0.2702,50.66%
2,48,0.23,618,1637,963.84,46,0.1867,43.59%
2,48,0.23,655,2026,1192.79,23,0.0923,26.97%
2,48,0.23,675,2289,1347.47,0,0,0.00%
1,36,0.2,775,0,0,138,0.5527,0.00%
1,36,0.2,690,254,149.28,109,0.4364,21.33%
1,36,0.2,617,579,340.99,87,0.3482,38.89%
1,36,0.2,590,754,443.62,80,0.3203,46.52%
1,36,0.2,573,998,587.19,69,0.278,53.11%
1,36,0.2,560,1309,770.54,54,0.216,54.54%
1,36,0.2,572,1638,964.47,34,0.1367,42.98%
1,36,0.2,610,2020,1189.09,10,0.0403,15.59%
1,36,0.2,623,2174,1279.55,0,0,0.00%
